HDI rank 2020,Country,HDI 2019 ,Life expectancy at birth 2019,Expected years of schooling 2019,Mean years of schooling 2019,Gross national income (GNI) per capita 2019,GNI per capita rank minus HDI rank 2019,HDI rank 2018,label,Refugees by country of origin 1000s 2019,Internally displaced persons 1000s,Homeless people due to natural disaster avergae per million,Orphaned children 1000s 2019,Prison population per 100k 2013-18,Homicide rate per 100k 2013-18,Suicides per 100K Female 2016,Suicides per 100K Male 2016,"HIV prevalence, adult % 15-49",Healthy life expectancy at birth,Current health expenditure % GDP,Exports and imports % GDP,"Foreign direct investment, net inflows  % GDP",Net migration rate per 1000,Lost health expectancy %,Physicians per 100k,Hospital beds,"Pupil–teacher ratio, primary school"
52.00,Russian Federation,0.82,72.58,15.03,12.17,26157.05,2.00,49.00,1.00,62.35,1.80,4.37,..,386.40,8.21,7.50,48.30,..,63.74,5.34,49.07,1.87,1.25,12.64,40.14,71.20,21.26
53.00,Belarus,0.82,74.79,15.40,12.31,18546.49,14.00,49.00,1.00,3.43,..,0.00,150.00,344.40,2.39,6.20,39.30,0.50,65.06,5.93,133.35,2.02,0.92,12.10,51.91,108.30,19.23
54.00,Turkey,0.82,77.69,16.60,8.11,27700.89,-4.00,54.00,1.00,83.27,1099.00,39.73,..,321.60,2.59,3.20,11.30,..,67.81,4.22,61.39,1.12,3.49,13.50,18.49,28.50,16.98
55.00,Uruguay,0.82,77.91,16.84,8.93,20063.64,9.00,56.00,1.00,0.02,..,0.00,..,297.00,12.06,7.10,26.80,0.60,67.45,9.30,41.03,1.34,-0.87,13.00,50.79,24.30,11.02
56.00,Bulgaria,0.82,75.05,14.41,11.36,23324.66,2.00,55.00,1.00,0.57,..,15.82,80.00,94.30,1.30,3.20,13.10,0.10,64.58,8.10,123.72,2.21,-0.68,11.95,40.33,74.50,15.21
57.00,Panama,0.82,78.51,12.91,10.24,29557.67,-10.00,58.00,1.00,0.05,..,0.00,..,396.50,9.39,1.20,7.60,0.90,69.24,7.32,89.39,9.08,2.70,13.48,15.69,22.50,21.96
58.00,Bahamas,0.81,73.92,12.90,11.44,33747.21,-17.00,58.00,1.00,0.50,..,0.00,..,460.60,31.96,0.50,2.80,1.80,64.24,5.76,77.35,3.96,2.61,12.44,20.07,29.60,19.45
58.00,Barbados,0.81,79.19,15.39,10.64,14935.91,20.00,60.00,1.00,0.25,..,0.00,2.60,296.20,9.77,0.30,0.80,1.50,66.70,6.78,83.69,3.84,-0.28,12.46,24.84,59.70,13.99
60.00,Oman,0.81,77.86,14.18,9.73,25944.07,-5.00,56.00,1.00,0.05,..,0.00,29.00,..,0.27,0.90,4.80,0.20,64.76,3.85,100.69,8.00,18.65,12.44,20.03,14.70,9.67
61.00,Georgia,0.81,73.77,15.28,13.13,14428.80,22.00,63.00,1.00,7.52,301.00,134.84,67.00,239.20,2.22,1.90,12.30,0.40,64.49,7.60,116.87,7.15,-2.50,12.14,71.20,28.90,8.98
62.00,Costa Rica,0.81,80.28,15.65,8.74,18486.37,6.00,61.00,1.00,0.21,..,0.00,44.00,287.40,11.26,2.30,12.80,0.40,69.38,7.33,66.10,4.06,0.85,13.36,28.94,11.00,12.20
62.00,Malaysia,0.81,76.16,13.68,10.37,27534.10,-11.00,63.00,1.00,1.16,..,0.00,430.00,178.10,2.13,3.60,8.70,0.40,65.65,3.86,123.09,2.39,1.60,12.51,15.36,18.80,11.66
64.00,Kuwait,0.81,75.49,14.25,7.28,58590.08,-51.00,62.00,1.00,1.31,..,..,..,147.90,..,1.70,2.50,0.10,70.25,5.29,100.49,-0.02,9.75,13.77,26.46,20.40,8.88
64.00,Serbia,0.81,76.00,14.74,11.19,17191.67,8.00,65.00,1.00,..,..,15.02,100.00,156.40,1.23,5.20,17.30,0.10,66.33,8.43,112.64,8.33,0.45,12.36,31.13,56.10,14.29
66.00,Mauritius,0.80,74.99,15.06,9.54,25266.21,-10.00,66.00,1.00,0.18,..,0.00,..,193.10,2.92,2.20,12.50,1.30,65.15,5.72,92.81,2.62,0.00,13.68,25.33,34.00,16.20
67.00,Seychelles,0.80,73.40,14.15,9.99,26903.25,-15.00,69.00,2.00,0.02,..,0.00,..,393.80,12.54,2.10,15.00,..,64.36,5.01,155.25,13.87,-2.07,12.51,21.21,36.00,14.49
67.00,Trinidad and Tobago,0.80,73.51,12.96,11.03,26230.72,-14.00,67.00,2.00,0.31,..,0.00,21.00,287.70,30.65,4.30,21.90,..,65.18,6.98,..,-2.95,-0.58,12.95,41.68,30.20,17.58
69.00,Albania,0.80,78.57,14.70,10.15,13998.30,18.00,68.00,2.00,15.03,..,4.69,22.00,184.40,2.29,4.30,7.00,..,68.86,..,76.73,7.91,-4.85,12.28,12.16,28.90,17.57
70.00,Cuba,0.78,78.80,14.28,11.79,8620.72,45.00,71.00,2.00,6.64,..,1310.28,91.00,..,5.05,4.10,16.40,0.40,68.43,11.71,27.09,..,-1.27,13.01,84.22,53.30,9.16
70.00,Iran (Islamic Republic of),0.78,76.68,14.81,10.35,12446.67,26.00,70.00,2.00,129.68,..,32.60,710.00,293.40,2.50,3.10,4.90,0.10,66.83,8.66,48.78,1.13,-0.68,14.06,15.84,15.60,28.52
72.00,Sri Lanka,0.78,76.98,14.11,10.63,12707.37,23.00,73.00,2.00,110.36,27.00,5225.84,300.00,97.50,2.42,6.20,23.30,0.10,66.95,3.81,52.37,1.82,-4.63,13.40,10.04,41.50,21.74
73.00,Bosnia and Herzegovina,0.78,77.40,13.80,9.82,14871.81,7.00,76.00,2.00,16.56,99.00,0.00,..,84.10,1.17,2.50,10.60,0.10,66.96,8.93,95.88,2.58,-6.43,13.00,21.62,34.90,16.93
74.00,Grenada,0.78,72.40,16.87,9.03,15640.89,3.00,74.00,2.00,0.08,..,..,..,414.40,10.82,1.00,2.10,..,64.03,4.76,110.05,13.16,-1.80,12.67,14.07,35.70,16.35
74.00,Mexico,0.78,75.05,14.81,8.75,19159.84,-8.00,76.00,2.00,14.62,345.00,39.67,..,155.60,29.07,2.30,8.20,0.20,65.36,5.52,78.18,2.30,-0.48,13.59,23.83,9.80,26.55
74.00,Saint Kitts and Nevis,0.78,74.76,13.85,8.66,25037.51,-17.00,75.00,2.00,0.06,..,0.00,..,423.10,..,..,..,..,63.11,5.04,122.67,9.26,..,12.46,26.76,..,13.87
74.00,Ukraine,0.78,72.07,15.07,11.40,13215.94,19.00,78.00,2.00,59.85,730.00,4.03,660.00,128.30,6.18,4.70,34.50,1.00,64.62,7.00,90.17,1.98,0.23,12.48,29.92,74.60,12.98
78.00,Antigua and Barbuda,0.78,77.02,12.77,9.29,20895.36,-15.00,80.00,2.00,0.12,..,0.00,..,317.70,..,0.90,0.00,..,66.62,4.53,90.19,8.39,0.00,12.67,29.56,28.90,12.41
79.00,Peru,0.78,76.74,14.99,9.70,12252.30,19.00,78.00,2.00,2.77,60.00,190.30,490.00,284.30,7.91,2.70,7.60,0.30,69.90,5.00,47.12,2.92,3.12,12.89,13.05,15.90,17.39
79.00,Thailand,0.78,77.15,15.03,7.94,17781.19,-10.00,80.00,2.00,0.47,41.00,22.95,990.00,527.60,2.58,4.80,21.40,1.10,68.40,3.75,110.30,1.16,0.28,12.78,8.05,..,16.64
81.00,Armenia,0.78,75.09,13.07,11.30,13894.01,9.00,72.00,2.00,10.97,8.40,0.00,39.00,76.80,1.69,2.00,10.10,0.20,66.64,10.36,91.43,1.86,-1.70,12.01,44.02,41.60,15.42
82.00,North Macedonia,0.77,75.80,13.59,9.81,15864.63,-7.00,82.00,2.00,1.79,0.10,0.00,..,108.30,1.20,3.00,9.70,0.10,65.38,6.06,137.28,3.76,-0.48,12.09,28.74,42.80,14.91
83.00,Colombia,0.77,77.29,14.40,8.47,14256.67,3.00,83.00,2.00,80.69,5576.00,23.87,690.00,234.60,25.34,2.80,11.50,0.40,69.57,7.23,38.09,4.48,4.16,13.25,21.85,17.10,23.30
84.00,Brazil,0.77,75.88,15.41,7.98,14262.93,1.00,84.00,2.00,1.40,..,74.31,..,344.20,27.38,2.80,9.70,0.50,65.20,9.47,28.98,4.27,0.10,14.04,21.64,20.90,20.22
85.00,China,0.76,76.91,13.98,8.06,16057.40,-11.00,87.00,2.00,212.89,..,115.90,..,110.40,0.53,8.30,7.90,..,68.53,5.15,35.68,1.09,-0.25,11.69,19.80,43.10,16.43
86.00,Ecuador,0.76,77.01,14.60,8.91,11043.98,19.00,84.00,2.00,1.66,..,2.92,280.00,219.50,5.80,3.80,10.70,0.40,66.74,8.26,46.74,0.90,2.15,12.62,20.37,13.90,24.26
